,0
36,"{'file': 444607, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/444607.wav': System error."")}"
37,"{'file': 402106, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/402106.wav': System error."")}"
38,"{'file': 399736, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/399736.wav': System error."")}"
39,"{'file': 375311, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/375311.wav': System error."")}"
40,"{'file': 346904, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/346904.wav': System error."")}"
41,"{'file': 323352, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/323352.wav': System error."")}"
42,"{'file': 322188, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/322188.wav': System error."")}"
43,"{'file': 293961, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/293961.wav': System error."")}"
44,"{'file': 288721, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/288721.wav': System error."")}"
45,"{'file': 201442, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/201442.wav': System error."")}"
46,"{'file': 201382, 'error': RuntimeError(""Error opening '/media/wwymak/Storage2/birdsong_dataset/xeno_canto_eu_cleaned/african_pied_wagtail/201382.wav': System error."")}"
